user_id<|>enr_cate_mid
엑스오토 초미니 셀카봉[홀더 포함] 초미니 원터치 유선 셀카봉<|>11
3M 천연 펄프 행주 L200 10매 묶음/가정용/업소용<|>11
시즌오프 16900~아우터/코트/야상/점퍼자켓<|>34
.DEEPCOOL  NEPTWIN LED BRAVOTEC<|>07
[국내총알배송] 디즈니 베이비돌 모음<|>
서울우유/스타벅스컵커피/바리스타커피/카페라떼/우유<|>05
펫디자인/애견의류/강아지옷 국내자체제작<|>42
원피스/눈에띄는 홀복/섹시원피스/미니원피스/파티복<|>34
철판구이짱쥐포(30봉) 1곽<|>04
무료배송 월드컵어포 30g x 30봉 1박스/어포/쥐포<|>04
[슈퍼마트] 신라면120gX5입<|>11
네비게이션거치대/네비거치대/내비거치대/내비게이션<|>62
스타일리쉬한 데님배기팬츠모음 세미배기/배기진/기모<|>34
스타일리쉬한 데님배기팬츠모음 세미배기/배기진/기모<|>34
2016베베쥬봄유아상의/여아남아티셔츠/신상/외출복<|>15
2016베베쥬봄유아상의/여아남아티셔츠/신상/외출복<|>15
위즈아이코리아 남자 반팔 7부 긴팔 셔츠 남성 와이셔츠 체크 남방<|>35
퓨어테이블/소파테이블/거실좌탁/좌식테이블/좌식책상<|>01
리드케이 매지컬 망치고데기/탱글러/원터치/웨이브 컬<|>08
삼성 정품 갤럭시 S7 엣지 노트5 S6 플러스 케이스<|>11
밀크 OTG USB메모리 64GB (국내생산)<|>12
1+1 밀웜 / 생밀웜/슈퍼밀웜/귀뚜라미<|>42
KT 하이브리드에그/와이브로에그/KWF-H1100/KWD-H1000<|>04
빈스걸 슈퍼특가~박스롱티셔츠 원피스 사이즈걱정NO빅사이즈<|>34
빈스걸 슈퍼특가~박스롱티셔츠 원피스 사이즈걱정NO빅사이즈<|>34
BMW/독일제/고급부직포테이프/잡소리방지<|>64
MUSIC ANGEL 뮤직엔젤 MUCK 스피커<|>57
(QR발송) 캐리비안베이 종일권 (5/1~5/31)<|>47
하기스 네이처메이드 1단계/2단계/3단계/4단계/3팩<|>07
핫팬츠/3부/5부/여자반바지/청치마/스키니<|>34
핫팬츠/3부/5부/여자반바지/청치마/스키니<|>34
지금 딱이야 모음전/44~99/빅사이즈/남방/블라우스<|>34
썸머 밴드스키니/여름신상/배기바지/반바지/옷걸이표<|>34
썸머 밴드스키니/여름신상/배기바지/반바지/옷걸이표<|>34
[꿀딜]1+1★반값한정+사은품까지!<|>03
공간 분위기 체인지◆인테리어 액자◆<|>45
여름신상 4900~롱원피스/반팔티셔츠/빅사이즈/기본티<|>34
여름신상8900~원피스/루즈핏/점프수트/멜빵<|>34
요미락 이유식 실리콘 친환경 조리스푼+주걱/조리기<|>03
(눈물의떙처리)무료배송~캐릭터초등노트.연습장모음전<|>02
(눈물의떙처리)무료배송~캐릭터초등노트.연습장모음전<|>02
(눈물의떙처리)무료배송~캐릭터초등노트.연습장모음전<|>02
(눈물의떙처리)무료배송~캐릭터초등노트.연습장모음전<|>02
[꿀딜][다샵] 3중직 햇빛가리개 2세트<|>04
따뜻한감자 레드 스윙 사각 오일병 250ml 선물박스/스윙병/유리밀폐/유리병/와인병/저장병<|>21
국내산고탄력팬티스타킹 20d 학생교복/검정/살구/커피<|>57
[하우두유둘] 가슴OK! 꼭지NO<|>09
넷메이트 HDMI to Mini HDMI Metal Ver1.4[0.5m] NETmate HDMI to Mini HDMI Violet Metal 케이블 0.5M<|>15
바지 팬츠 모음전/슬랙스 면바지 빅사이즈여성의류<|>34
제주삼다수 500ml x 20병<|>13
본비엔 심리스 노와이어 수면브라/팬티<|>37
본비엔 심리스 노와이어 수면브라/팬티<|>37
본비엔 심리스 노와이어 수면브라/팬티<|>37
베루스 갤럭시노트5 케이스 크리스탈범퍼<|>11
언코리 남녀공용 스니커즈 25종<|>19
나막스(700g)(10마리) 붉은메기 찜 튀김 구이<|>04
슈베스기저귀 2팩 초슬림 여름기저귀 출시(팬티 밴드)<|>07
제니스샵 고품질 정장벨트 남성벨트허리띠가죽밸트빅사이즈벨트<|>56
2016 봄 신상입고 플랫폼 슈즈 키높이 슬립온<|>54
슈피겐 슈피겐 애플워치 케이스 터프아머(42MM)<|>18
G마켓특별가 여름신상7900원~블라우스/셔링/퍼프/쉬폰<|>34
G마켓특별가 여름신상7900원~블라우스/셔링/퍼프/쉬폰<|>34
바이올린 케이스 활 어깨받침대 송진 튜너 스탠드<|>43
바이올린 케이스 활 어깨받침대 송진 튜너 스탠드<|>43
한방초이스 봄신상 입고 홀복 섹시 원피스 미니 탑<|>34
마블3단5단 접이식매트리스/접이식침대<|>02
카시오정품 패션메탈 손목시계 여성남성 MTP-1303D-1A<|>51
카시오정품 패션메탈 손목시계 여성남성 MTP-1303D-1A<|>51
카페라떼 컵 20입/바리스타 커피/빙그레 아카페라20입<|>05
당일출고 (정품) 나이키 베네시 스우시 모음 슬리퍼<|>19
아동 봄잠옷 상하세트 원피스잠옷 커플잠옷 긴팔잠옷<|>15
아동 봄잠옷 상하세트 원피스잠옷 커플잠옷 긴팔잠옷<|>15
아동 봄잠옷 상하세트 원피스잠옷 커플잠옷 긴팔잠옷<|>15
여름신상 최저가 -미니/레이스/홀복/섹시/데님원피스<|>34
ANF 사료/ 6FREE 홀리스틱 유기농 양고기 램28 <|>42
3일특가/보정속옷/다이어트/나시/올인원/거들/복대<|>37
여름신상 마약팬츠 26~36 스키니진/하이웨스트청바지<|>34
여름신상 마약팬츠 26~36 스키니진/하이웨스트청바지<|>34
여름신상 마약팬츠 26~36 스키니진/하이웨스트청바지<|>34
신상추가 스트릿 브랜드 반팔티셔츠 3+1사은품증정<|>35
빅사이즈청바지 모음전/스키니 밴딩 핫팬츠 롤업팬츠<|>34
G마켓특별가 여름신상6800원~ 원피스/레이스/섹시/롱<|>34
i아이라인 여름신상 러블리 원피스 레깅스 아동복 여아의류<|>15
선별하지 않은 양파껍질 2Kg<|>02
여름신상 블라우스 7900~오프숄더/스트라이프/셔츠GN2<|>34
하이웨스트스커트/h라인스커트/데님롱스커트/옆트임<|>34
신상/하이웨스트/플레어/H라인/A라인/11am/츄/다홍<|>34
끌로베 여름 티셔츠/팬츠/원피스/상하복 46종 택1<|>15
대박찬스! 블루투스 헤드셋 모음전<|>18
[꿀딜]피죤3100mlx4 무료배송<|>25
핫코드 여름신상 남자 반바지/청/5부/7부/면/남성/카고/스판<|>35
2016신상 슬림핏/슬렉스/면바지/밴딩팬츠/정장바지<|>35
여름신상 마약팬츠 26~36 스키니진/하이웨스트청바지<|>34
핸드폰 아이폰6S 플러스 5S 갤럭시S5 S6 노트5 G2 폰<|>11
5월프리미엄 SALE~신상  미러선글라스 단독최다컬러<|>57
리빙 하이그로시 2인 식탁세트/주방/2인식탁/홈데코/<|>03
핸드폰 갤럭시S6 S7 S5 노트5 노트4 3 엣지 폰 케이스<|>11
갤럭시노트5/노트4/s7/s6/엣지 미러글라스 메탈케이스<|>11
동양매직 과열방지 선풍기 모음전<|>02
G마켓특별가/여름신상 블라우스/오프숄더/카라GN1<|>34
여름신상 9900균일 여신원피스/청순/섹시/쉬폰<|>34
여름신상 9900균일 여신원피스/청순/섹시/쉬폰<|>34
프롬데이원/핏이예쁜 스커트/트임 H라인 벨트<|>34
프롬데이원/핏이예쁜 스커트/트임 H라인 벨트<|>34
민자 엠보싱 1겹 2겹 3겹 대용량 점보롤화장지<|>14
여름신상/스키니/빅사이즈/스키니/반바지/핫팬츠/4부<|>34
이벤트/파티/결혼식 컨페티 폭죽 BEST<|>44
[슈퍼마트]매일유업 피크닉 사과 24팩<|>13
미미월드 인기상품 모음전<|>24
티앤트리 봄신상 예쁜롱원피스-플레어 레이스 멜빵<|>34
누적판매량 10만개 미러케이스♥<|>11
전상품할인~G특별가~롱티셔츠/무료배송/맨투맨/반팔<|>34
G마켓특별가4900~롱원피스/반팔티셔츠/빅/기본티<|>34
G마켓특별가4900~롱원피스/반팔티셔츠/빅/기본티<|>34
|제주| 우수 진에어 항공권특가 5월17~7월 21일 연휴제외 (김포/제주)/공항유류세/확정여부대기상품<|>01
트라이 5매 3900원/여성/여자/팬티/요일/미디/맥시/속옷/면<|>37
G마켓특별가 9900 러블러빈 원피스 롱원피스 여신<|>34
러블러빈 슈퍼-딜 9900원 파격가 여신원피스 원피스<|>34
러블러빈 슈퍼-딜 9900원 파격가 여신원피스 원피스<|>34
G마켓특별가 여름신상 원피스 전상품 균일가/쉬폰/롱<|>34
{주문전체크 예약판매} CM115w 컬러 레이저복합기<|>02
아우라진/면반바지/핫팬츠/청반바지/여자/슬랙스<|>34
아우라진/면반바지/핫팬츠/청반바지/여자/슬랙스<|>34
이쁘니* 레이어드 반지 1900원 균일가<|>52
홀복/미체/파티복/드레스/섹시원피스/댄스복/클럽복<|>34
일리 마스크 최대구성 + 추가증정 (12종 택1)<|>02
