name,cate1
"2015년 최신형 미니 킥보드 S /스쿠터/맥시/발광바퀴",10
"미니 킥보드 S /불빛나는바퀴/씽씽이/씽씽카/스쿠터/맥시 라이딩","09"
"차봤니 벨트 캐주얼벨트 밸트 남자벨트 남성벨트 정장벨트",14
"고래푸드 참치회 흑새치 눈다랑어속살 뱃살 400g/메카뱃살 400g",15
"[샘플증정]아이오페 슈퍼바이탈 크림/바이오 에센스/화이트젠/앰플에센스/레티놀/트러블/스템셀/모이스트젠","08"
"붐붐-여름신상상하복/유아복/아동복/g맘클럽/",10
"(G마켓Fresh)친환경 유기농 꿀/호박고구마3/5kg",15
"전상품할인~자체제작~캐릭터 티셔츠/무료배송",14
"링클프리 면바지 스판  골프 남자 남성 작업복 바지",14
"JKFOOD_밀떡볶이(슬라이스)/밀떡/3.6kg/떡볶이/분식",15
"정사각팬5호/사각케익팬/브라우니팬/카스테라팬",16
"홈쇼핑 천사 크림도우 아티스트 24색 생일 선물",10
"2015 국내산 햅쌀/안심미/쌀20kg/백미/현미/귀리/잡곡",15
"일리 마스크 최대구성 + 추가증정 (12종 택1)","08"
"메조사운드 PRO 693 MEZZO 6x9인치  350W 고출력 4WAY 스피커 차량용","03"
"[몽드드]기간/한정/프리미엄 스파클링/코튼함유/70매/아기물티슈",10
"신상특가 아동양말/유아양말/니삭스/타이즈 모음전",10
"본사직영_아기물티슈 몽드드 오리지널 엠보싱 리필형 8팩+휴대용 10팩 [MR-810]",10
"캠핑 쿨러 스텐드(2개 1세트/가방포함) 다용도선반/사이드테이블/쿨러스탠드 (세미카)","09"
"콜팩 /앵카팩/텐트팩/핑거팩/펙/고강도/캠핑용품","09"
"한신제약 소독용에탄올 4L 83%/병원납품용/에탄올/한신에탄올",16
"고양이캔 고양이간식 고양이사료 고양이용품 총집합",16
"지금부터여름까지/플라워/테니스스커트/플레어/롱치마",14
"신상특가 여름신상추가 프린트플레어스커트플라워미니",14
"갤럭시노트5/노트4/s7/s6/엣지/a8/7 메탈 미러 케이스",22
"봄신상 남자 슬립온 남성 로퍼 스니커즈 신발 키높이 운동화",14
"[페이크삭스10켤레+무료배송]파스텔페이크/면실리콘덧신/스타킹덧신/양말",14
"((10팩+10팩)조이로이 위드네이처 안심 아기물티슈",10
"[꿀딜]하루건강견과 베리&요거트",15
"커피[플러스]쟈뎅 홈스타일 까페모리 60T",15
"[월데코]10+1이벤트 붙이면끝~[친환경 풀바른  합지벽지] 포인트벽지/어린이벽지/아이방/셀프도배/단색/diy",12
"[손여사닷컴]현관문 2단 O형 고무패킹/문풍지/방화문/방음/방풍/가스켓/바람막이/철문/황사/미세먼지/담배",12
"[ 2+1 ]단열뽁뽁이 5.5mm 8.5mm 뽁뽁이 단열뽁뽁이 에어캡 단열에어캡 창문뽁뽁이 유리창뽁뽁이",12
"유아스킨케어[플러스] 캘리포니아베이비 모음전","08"
"여드름압출기12종셋트+(사은품알콜솜20매)의료용큐렛/제거기","08"
"네츄럴코어 제조일확인 특별사은품16종 강아지사료",16
"인기 애견장난감 99종/강아지장난감 고양이장난감",16
"봄신상특가세일/스키니진 26~36/여자청바지/하이웨스",14
"신상 균일가-반팔/여름티/여성의류반팔티셔츠/박스티",14
"너에게 하고 싶은 말",93
"[특가]1초 미백 포토샵 밀키드레스 화이트닝 인기상품/뽀~얀자신감 UP/수분크림/미백크림/보습/에어쿠션","08"
"삼성정품 급속충전기/2a/갤럭시S6 S7 엣지/노트4/노트5/노트3/S5/LG 스마트 고속충전기/S4/S3/G4/G5/V10 급속 차량용충전기/9V/USB 듀얼 충전기",22
"정품 급속 고속 충전기 핸드폰충전기 휴대폰충전기 스마트폰충전기 차량용충전기 갤럭시충전기 USB 데이터케이블 5핀 8핀 30핀 아이폰6충전기 휴대용충전기 고속충전기 usb충전기 아이폰6충전기 아이폰충전기",22
"렉사 microSDXC 128GB 633X UHS-I U1 CLASS10/T-flash/마이크로SD/스포츠 액션캠","02"
"복음자리 딸기잼 1050g 국산/무보존료제품/쨈",15
"동원 양반김 참기름/들기름/올리브유 32봉",15
"무료배송+사은품/균일가/하이브리드와이퍼/차동차용품",21
"스마트폰 케이블 모음-마이크로5핀 라이트닝 아이폰",22
"엘빈즈 아기과자 모음전/곡물그대로 쌀눈가득곡물",10
"국산전선/전기선/1M단위판매/HIV/로맥스/SV/충진형/VCTF/장원형/스피커선/TFR-CV/GV/5시당일발송/IEC규격품",16
"[정관장] 홍삼톤 골드 (40mlx30포)",15
"[파인드라이브] [본사직송/2015년 10월 출시] iQ IoT 1.0 16GB+2종(TPEG/3D업데이트 평생무료) 사물인터넷서비스 네비게이션","03"
"아토세이프 로하스 섬유유연제 2.5L[1개] 로하스인증 유연제 2.5L 4개/액체세제 2.5L 4개 택1",16
"[이즈앤트리]히아루론산 토너/히아루론산 크림/수분토너/수분크림/수분보충/이즈스킨","08"
"나노네이처! 기적의 폼클렌징 아실리안","08"
"시모무라 프레쉬 슬라이서 와이드 (FSW01) 시모무라채칼/양배추슬라이스/FSW-01/ACB-657/SFS-102",16
"[기타] 오리지널 미니 30g","08"
"HACCP 웅순네김치 1kg 20종 /줄서서 사먹는 김치 / 매일 아침 주문량만큼만 만들어요",15
"신상 반팔셔츠 7부/롤업/체크/솔리드/데님/청/린넨/헨리넥/슬림/박스/스판/긴팔/티셔츠/남자/남성/모니즈",14
"[르젠]앵콜초특가 여름팬츠 총집합 11번가 판매1위 반바지/신상/슬랙스/면바지/린넨/정장바지/청바지/남자",14
"[샤오미공식대리점] 샤오미 미밴드 펄스 1S/체중계/보조배터리/블루투스 스피커/캐리어/시거잭/이어폰","03"
"트랜센드 JetFlash 520 32G USB TS32GJF520S/520G","07"
"베베맘마 물티슈 10+10총20팩+케이스증정 유해물질無",10
"(현대Hmall)[하기스] 매직팬티 4단계 38x4/ 5단계 31x4 택 ",10
"피스넷 파티[정품] LED 블루투스 스피커 파티/NFC/SD카드 자전거 캠핑용","03"
"프리미엄팬틴Pro-V500mlX3개/팬틴샴푸/트리트먼트","08"
"방친구 로디5단서랍장/500목재서랍장/300/유럽풍",12
"맘스베베 모유 수유패드 120매 1일 2p 권장 60일분",10
"국내산 항균 순면 요커버+정품요솜/요매트",12
"[다이애나젤팁] 여름신상 붙이는 젤네일 웨딩네일 10분 셀프젤네일 네일팁","08"
"이태리직수입 유리잔/컵/유리컵/맥주잔/맥주컵/소주잔",16
"슈피겐 셀카봉 셀카봉 S520W",22
"[신상특가]티스토리/반팔/5부반팔/오버핏/7부반팔/레이어드/반팔티/기본/커플티/티셔츠/5부/7부/남자/여자",14
"싸이닉 기능성 앰플 균일가 대전/스네일/아쿠아/빙하수/허니/초대용량/250ml","08"
"토니모리 립톤 겟잇 틴트 9.5g (8가지색상) 1 + 1 택1","08"
"디즈니 여름신상 상하복/세트복/긴팔티/레깅스/팬츠",10
"(Brand Deal) 프리미엄 천연코튼 4팩 / 기저귀",10
"에너자이저 에너자이저 미니어쳐 A23 2입 / 건전지","02"
"가정용 재봉틀 바늘(Orange Needles) 미싱바늘 재봉틀바늘(부라더가정용미싱)","05"
"NEXT-702U3 RAID[케이스(HDD없음)] NEXT-702U3 RAID 레이드대용량스토리지레이드/외장하드/RAID/대용량하드/외장스토리지/레이드/MAC지원","07"
"생수 2L[36개]  롯데혜택/1병당 499원 (무료배송)/ 한달분량  스파클 생수 2리터 6병(6팩) - 총",15
"박준 헤어캡 & 헤어케어","05"
"후르츠마켓 가정용 햇 부사 중과 대과 9~11Kg 실중량 흠집 사과 햇사과 실중량 9Kg 11Kg",15
"[클리오1+1 라이너]킬블랙 워터프루프 펜아이라이너 젤라이너 브러쉬(마스카라내장) 펜슬 젤프레소 페리페","08"
"브랜드 낚시용품 100종","09"
"[슈퍼마트]한성 런천미트 340g",15
"[슈퍼마트]스카치캔디126g(세가지맛)",15
"[슈퍼마트]목캔디믹스베리274g",15
